评分段,书名
7-8,手机战争 : 一部关于芯片、5G通信和互联网等信息产业的商业帝国史
7-8,机器学习理论导引
7-8,大话量子通信
7-8,宇宙、地球和大气
7-8,声呐技术
7-8,AIGC传播时代
7-8,量子信息简话 : 给所有人的新科技革命读本
7-8,创新的起源 : 一部科学技术进步史
7-8,技术与德国 : 1800年至今
7-8,产品经理的第二本书 : 产品经理实战技巧指南
7-8,Google總部大揭密 : Google如何思考？如何運作？ 如何形塑你我的生活？
7-8,人工智能未来简史――基于脑机接口的超人制造愿景
7-8,第三届中国高校智能机器人创意大赛获奖作品精选
7-8,自动驾驶改变未来
7-8,The Coming Wave : Technology
7-8, Power
7-8, and the Twenty-first Cen
7-8,人工智能时代与人类未来
7-8,游向彼岸 : 安迪·格鲁夫自传
7-8,5G时代 : 什么是5G，它将如何改变世界
7-8,献给阿尔吉侬的花束
7-8,被互联网辜负的人 : 互联网的士绅化如何制造了数字不正义
7-8,区块链 : 从数字货币到信用社会
7-8,供應鏈戰爭 : 砂、鹽、鐵、銅、鋰、石油的戰略價值
7-8,技术主权 : 第四次工业革命时代的大国博弈
8-9,芯片战争 : 世界最关键技术的争夺战
8-9,量子物理如何改变世界
8-9,芯片战争
8-9,深度学习革命 : 从历史到未来
8-9,AI 3.0
8-9,理解和改变世界 : 从信息到知识与智能
8-9,埃隆·马斯克传
8-9,千脑智能
8-9,失控 : 全人类的最终命运和结局
8-9,芯片浪潮 : 纳米工艺背后的全球竞争
8-9,埃隆·马斯克 : 脑机接口与人类永生
8-9,人工智能哲学十五讲
8-9,科学：无尽的前沿
8-9,技术之外 : 社会联结中的人工智能
8-9,人工智能（第4版） : 现代方法
8-9,Elon Musk
8-9,技术垄断 : 文化向技术投降
8-9,七堂极简物理课
8-9,发明：改变我们生活的技术突破 : 改变我们生活的技术突破
8-9,系统架构 : 复杂系统的产品设计与开发
8-9,科学之魂 : 爱因斯坦、海森堡、玻尔关于不确定性的辨论
8-9,大规模C++程序设计
8-9,人工智能科学
8-9,我从太空考古
8-9,结构化汇报：如何呈现工作成果、产品与自我能力
8-9,无穷的开始 : 世界进步的本源
8-9,马道成功 : 创业教父马云的经营哲学
8-9,苹果往事 : 开发麦金托什的非凡岁月
8-9,Neural Networks and Deep Learning
8-9,洞察AIGC：智能创作的应用、机遇与挑战
8-9,必然
8-9,我们的后人类未来 : 生物科技革命的后果
8-9,不拘一格 : 网飞的自由与责任工作法
8-9,决战元素周期表 : 稀有金属如何支撑科技进步，变革人类生活，左右世界格局？
8-9,科技想要什么
8-9,权力之治：人工智能时代的算法规制
8-9,全球“猎身” : 世界信息产业和印度技术劳工
8-9,生成式人工智能 : AIGC的逻辑与应用
8-9,如何离开地球表面 : 人类航空航天小史
8-9,技术人创业攻略
8-9,ToB的本质：行业逻辑与商业运作
8-9,硅谷革命 : 成就苹果公司的疯狂往事
8-9,人类死亡史 : 从瘟疫到癌症
8-9,赡养人类
8-9,计算机与人脑
8-9,爱因斯坦的梦
8-9,半导体的故事
8-9,大模型应用开发极简入门 : 基于GPT-4和ChatGPT
8-9,编码 : 隐匿在计算机软硬件背后的语言
8-9,未来黑科技通史
8-9,暗数据 : 如何发现被我们忽视的重要信息
8-9,人工智能全传
8-9,伽利略 : 天空的守望者
8-9,科学革命
8-9,金属与肉体 : 技术如何接管人类进化
8-9,半导体制造技术
8-9,A Prehistory of the Cloud
8-9,你好啊，人工智能 : 你的第一本前沿科技启蒙书
8-9,少年的奇幻世界：山海经
8-9,5G+智慧电影
8-9,自动驾驶之争
8-9,克莱因壶
8-9,MBA教不了的创富课 : 我在30岁之前赚到1000万的经验谈
8-9,枪炮、病菌与钢铁 : 人类社会的命运
8-9,權力與進步 : 科技變革與共享繁榮之間的千年辯證
8-9,微软的秘密
8-9,硅谷之谜 : 《浪潮之巅》续集
8-9,循环：AI如何影响人类，人类如何应对AI
8-9,自动驾驶技术概论
8-9,计算
8-9,万物解释者（畅销升级版） : 复杂事物的极简说明书
8-9,下一站 火星 : 马斯克、贝佐斯和太空争夺战
8-9,GPT图解 : 大模型是怎样构建的
8-9,追光者 : 人造光的进化史
8-9,新科技：预测未来商业发展的51项领先技术
8-9,自私的基因
8-9,上帝的手术刀 : 基因编辑简史
8-9,现代城市规划理论
8-9,现实不似你所见 : 量子引力之旅
8-9,人工智能时代 : 人机共生下财富、工作与思维的大未来
8-9,硅谷钢铁侠 : 埃隆·马斯克的冒险人生
8-9,技术领导之路（中英文对照） : 全面解决问题的途径(中英文对照)
8-9,Where Is My Flying Car?
8-9,美国创新简史 : 科技如何助推经济增长
8-9,非凡之路：第四次工业革命 : 第四次工业革命
8-9,业务数智化：从数字化到数智化的体系化解决方案
8-9,Burn Book : A Tech Love Story
8-9,上帝的手术刀 : 基因编辑简史
8-9,我们何以成为后人类 : 文学、信息科学和控制论中的虚拟身体
8-9,溯源中国计算机
8-9,后元宇宙时代
8-9,海漄怪奇故事集
8-9,产品经理的第二本书（白金版）
8-9,大国锁钥 : 国产替代浪潮
8-9,气候经济与人类未来 : 比尔·盖茨给世界的解决方案
8-9,科技与社会十四讲
8-9,机器人伦理学导引
8-9,数字原生
8-9,科学技术史手册
8-9,脑机接口导论
8-9,信息简史
8-9,光刻巨人 : ASML崛起之路
8-9,信息时代三部曲：经济、社会与文化
8-9,Web3.0时代：创新思维赋能数字未来
8-9,人工智能基础
9+,芯片简史 : 芯片是如何诞生并改变世界的
9+,人机对齐
9+,浪潮之巅
9+,从一到无穷大
9+,智慧的疆界 : 从图灵机到人工智能
9+,浪潮之巅（第四版）（上下册）
9+,一人公司 : 失业潮中的高新技术工作者
9+,科技之巅（20周年珍藏版） : 全球突破性技术创新与未来趋势
9+,Read Write Own : Building the Next Era of the Internet
9+,技术史（第Ⅰ卷） : 远古至古代帝国衰落
9+,哥德尔、艾舍尔、巴赫 : 集异璧之大成
9+,未来志 : The Future Then
9+,改变心理学的40项研究
9+,浪漫机器 : 拿破仑之后的乌托邦科学与技术
9+,文明之光
9+,社交机器人：界限、潜力和挑战
9+,Python数据科学手册
9+,科技之光 : 国民教育通识读本 科技卷
9+,Start-up Nation : The Story of Israel's Economic Miracle
9+,时间旅行简史
9+,机器人短篇全集
9+,寄生虫星球 : 站在食物链顶端，寄生虫控制着进化……
9+,科学革命的结构
9+,我在硅谷管芯片：芯片产品线经理生存指南
9+,代码2.0 : 网络空间中的法律
9+,网络是怎样连接的
9+,科学通史 : 从哲学到功用
9+,无限与视角
9+,法律3.0 : 规则、规制和技术
9+,宇宙
9+,科技渴望性別
9+,脑机穿越 : 脑机接口改变人类未来
9+,家用游戏机简史
9+,芯片的未来 : 制衡世界的技术
9+,计算机网络 (第8版)
9+,黑客与画家 : 硅谷创业之父Paul Graham文集
9+,东数西算与算力网络
9+,维纳传 : 信息时代的隐秘英雄
9+,机器人大师
9+,人类科技创新简史 : 欲望的力量
9+,世界科学技术通史
9+,三位一体 : 英特尔传奇
9+,乘用车底盘系统开发：车辆动力学原理应用与正向开发工程实践
9+,科学的诞生 : 科学革命新史
9+,自主无人系统的智能环境感知技术
9+,不用绞尽脑汁也能看得懂的漫话科学：原子弹诞生篇
9+,日本科技150年 : 从黑船来航到福岛事故
